job_id,op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
149,146210,4,4690,385,coldboxsoprado_sopradora,2025-09-15 03:48:00,2025-09-15 04:00:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
154,146211,4,4690,385,coldboxsoprado_sopradora,2025-09-15 04:00:00,2025-09-15 04:12:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
159,146212,4,4690,385,coldboxsoprado_sopradora,2025-09-15 04:12:00,2025-09-15 04:24:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
164,146213,4,4690,385,coldboxsoprado_sopradora,2025-09-15 04:24:00,2025-09-15 04:36:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
169,146214,4,4690,385,coldboxsoprado_sopradora,2025-09-15 04:36:00,2025-09-15 04:48:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
174,146215,4,4690,385,coldboxsoprado_sopradora,2025-09-15 04:48:00,2025-09-15 05:00:00,2025-09-16,2025-09-19,A,0,0,2025-09-16,0,12.0
179,146216,4,4690,385,coldboxsoprado_sopradora,2025-09-15 05:00:00,2025-09-15 05:12:00,2025-09-16,2025-09-19,A,0,0,2025-09-16,0,12.0
33,145852,4,4689,386,coldboxsoprado_sopradora,2025-09-15 05:12:00,2025-09-15 05:24:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,12.0
90,145896,4,4690,385,coldboxsoprado_sopradora,2025-09-15 05:24:00,2025-09-15 05:36:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,12.0
106,146088,4,4690,385,coldboxsoprado_sopradora,2025-09-15 05:36:00,2025-09-15 05:48:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,12.0
36,145853,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 05:48:00,2025-09-15 06:00:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
39,145854,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:00:00,2025-09-15 06:12:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
42,145855,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:12:00,2025-09-15 06:24:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
45,145856,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:24:00,2025-09-15 06:36:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
48,145857,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:36:00,2025-09-15 06:48:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
53,145858,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:48:00,2025-09-15 07:00:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
58,145859,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 07:00:00,2025-09-15 07:12:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
63,145860,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 07:12:00,2025-09-15 07:24:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
68,145861,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 07:24:00,2025-09-15 07:36:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
73,145862,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 07:36:00,2025-09-15 07:48:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
78,145863,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 07:48:00,2025-09-15 08:00:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,12.0
83,145864,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 08:00:00,2025-09-15 08:12:00,2025-09-16,2025-09-19,A,0,0,2025-09-16,0,12.0
88,145865,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 08:12:00,2025-09-15 08:24:00,2025-09-16,2025-09-19,A,0,0,2025-09-16,0,12.0
109,146089,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 08:24:00,2025-09-15 08:36:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
131,146205,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 08:36:00,2025-09-15 08:48:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
134,146206,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 08:48:00,2025-09-15 09:00:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
137,146207,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 09:00:00,2025-09-15 09:12:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
140,146208,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 09:12:00,2025-09-15 09:24:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
145,146209,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 09:24:00,2025-09-15 09:36:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,12.0
