op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
146057,1,4668,2578,coldboxsoprado_sopradora,2025-09-29 04:00:00,2025-09-29 04:40:00,2025-09-29,2025-09-30,B,0,1,2025-09-29,0,40.0
146506,1,4292,1755,coldboxsoprado_sopradora,2025-09-29 04:50:00,2025-09-29 06:12:00,2025-09-29,2025-09-30,B,0,1,2025-09-29,0,82.0
146372,4,4689,386,coldboxsoprado_sopradora,2025-09-29 06:42:00,2025-09-29 06:44:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146373,4,4689,386,coldboxsoprado_sopradora,2025-09-29 06:44:00,2025-09-29 06:46:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146410,4,4690,385,coldboxsoprado_sopradora,2025-09-29 06:46:00,2025-09-29 06:48:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146411,4,4690,385,coldboxsoprado_sopradora,2025-09-29 06:48:00,2025-09-29 06:50:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146372,20,4689,2629,coldboxsoprado_sopradora,2025-09-29 07:00:00,2025-09-29 07:02:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146373,20,4689,2629,coldboxsoprado_sopradora,2025-09-29 07:02:00,2025-09-29 07:04:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146410,20,4690,2629,coldboxsoprado_sopradora,2025-09-29 07:04:00,2025-09-29 07:06:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146411,20,4690,2629,coldboxsoprado_sopradora,2025-09-29 07:06:00,2025-09-29 07:08:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,2.0
146460,20,4805,2629,coldboxsoprado_sopradora,2025-09-29 07:08:00,2025-09-29 07:12:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146461,20,4805,2629,coldboxsoprado_sopradora,2025-09-29 07:12:00,2025-09-29 07:16:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146462,20,4805,2629,coldboxsoprado_sopradora,2025-09-29 07:16:00,2025-09-29 07:20:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
145489,20,4759,2629,coldboxsoprado_sopradora,2025-09-29 07:20:00,2025-09-29 07:26:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,6.0
145268,20,5134,2629,coldboxsoprado_sopradora,2025-09-29 07:26:00,2025-09-29 07:34:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,8.0
145945,20,5135,2629,coldboxsoprado_sopradora,2025-09-29 07:34:00,2025-09-29 07:42:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,8.0
146035,20,5135,2629,coldboxsoprado_sopradora,2025-09-29 07:42:00,2025-09-29 07:50:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,8.0
146057,20,4668,2629,coldboxsoprado_sopradora,2025-09-29 07:50:00,2025-09-29 08:00:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,10.0
145945,7,5135,841,coldboxsoprado_sopradora,2025-09-29 08:10:00,2025-09-29 08:14:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146035,7,5135,841,coldboxsoprado_sopradora,2025-09-29 08:14:00,2025-09-29 08:18:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146460,3,4805,2692,coldboxsoprado_sopradora,2025-09-29 08:28:00,2025-09-29 08:32:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146461,3,4805,2692,coldboxsoprado_sopradora,2025-09-29 08:32:00,2025-09-29 08:36:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146462,3,4805,2692,coldboxsoprado_sopradora,2025-09-29 08:36:00,2025-09-29 08:40:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,4.0
146812,2,4835,2708,coldboxsoprado_sopradora,2025-09-29 08:50:00,2025-09-29 08:57:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,7.0
146812,3,4835,2709,coldboxsoprado_sopradora,2025-09-29 09:45:00,2025-09-29 09:52:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,7.0
146831,2,4836,2708,coldboxsoprado_sopradora,2025-09-29 09:52:00,2025-09-29 10:12:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,20.0
146831,3,4836,2709,coldboxsoprado_sopradora,2025-09-29 10:12:00,2025-09-29 10:32:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,20.0
146460,4,4805,2693,coldboxsoprado_sopradora,2025-09-29 10:42:00,2025-09-29 10:50:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,8.0
146461,4,4805,2693,coldboxsoprado_sopradora,2025-09-29 10:50:00,2025-09-29 10:58:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,8.0
146462,4,4805,2693,coldboxsoprado_sopradora,2025-09-29 10:58:00,2025-09-29 11:16:00,2025-09-29,2025-09-30,A,0,1,2025-09-29,0,18.0
146374,4,4689,386,coldboxsoprado_sopradora,2025-09-29 11:16:00,2025-09-29 11:18:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146375,4,4689,386,coldboxsoprado_sopradora,2025-09-29 11:18:00,2025-09-29 11:20:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146376,4,4689,386,coldboxsoprado_sopradora,2025-09-29 11:20:00,2025-09-29 11:22:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146412,4,4690,385,coldboxsoprado_sopradora,2025-09-29 11:22:00,2025-09-29 11:24:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146413,4,4690,385,coldboxsoprado_sopradora,2025-09-29 11:24:00,2025-09-29 11:26:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146414,4,4690,385,coldboxsoprado_sopradora,2025-09-29 11:26:00,2025-09-29 11:28:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146374,20,4689,2629,coldboxsoprado_sopradora,2025-09-29 11:38:00,2025-09-29 11:40:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146375,20,4689,2629,coldboxsoprado_sopradora,2025-09-29 11:40:00,2025-09-29 11:42:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146376,20,4689,2629,coldboxsoprado_sopradora,2025-09-29 11:42:00,2025-09-29 11:44:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146412,20,4690,2629,coldboxsoprado_sopradora,2025-09-29 11:44:00,2025-09-29 11:46:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146413,20,4690,2629,coldboxsoprado_sopradora,2025-09-29 11:46:00,2025-09-29 11:48:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
146414,20,4690,2629,coldboxsoprado_sopradora,2025-09-29 11:48:00,2025-09-29 11:50:00,2025-09-29,2025-09-30,A,0,0,2025-09-29,0,2.0
