id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt,maquina,not_sequence,inicio,fim
7180,146056,2025-10-01,4,5135,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:16:00,2025-09-29 01:27:00
7234,146373,2025-09-30,4,4689,4,386,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:27:00,2025-09-29 01:30:00
7235,146373,2025-09-30,4,4689,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:30:00,2025-09-29 01:33:00
7305,146411,2025-09-30,4,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:33:00,2025-09-29 01:36:00
7306,146411,2025-09-30,4,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-26,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:36:00,2025-09-29 01:39:00
7241,146375,2025-10-01,5,4689,4,386,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:39:00,2025-09-29 01:42:00
7242,146375,2025-10-01,5,4689,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:42:00,2025-09-29 01:45:00
7311,146413,2025-10-01,5,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:45:00,2025-09-29 01:48:00
7312,146413,2025-10-01,5,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:48:00,2025-09-29 01:51:00
7184,146136,2025-10-01,7,4668,1,2578,coldboxsoprado,sopradora,Silica,7,1,peça,1,1,40,0,40,40,1,57.0,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29,coldboxsoprado_sopradora,True,2025-09-29 01:51:00,2025-09-29 02:48:00
