OP,caixa,_kf_macho,maquina,fim,not_before_date,deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
144185,30.0,2926.0,pepset_carrossel,2025-09-29 04:40:00,2025-09-29,2025-09-29,0,10,2025-09-29 04:30:00,14,
145271,1.0,2919.0,pepset_carrossel,2025-10-01 13:05:00,2025-10-01,2025-10-01,0,160,2025-10-01 10:25:00,14,
145489,1.0,2675.0,pepset_carrossel,2025-09-29 04:20:00,2025-09-29,2025-09-29,0,10,2025-09-29 04:10:00,14,
145564,1.0,2699.0,pepset_carrossel,2025-10-01 06:10:00,2025-10-01,2025-10-01,0,40,2025-10-01 05:30:00,14,
145566,1.0,2701.0,pepset_carrossel,2025-10-01 05:30:00,2025-10-01,2025-10-01,0,40,2025-10-01 04:50:00,14,
145775,2.0,829.0,pepset_carrossel,2025-09-30 17:15:00,2025-09-30,2025-09-30,0,120,2025-09-30 15:15:00,14,
145775,3.0,830.0,pepset_carrossel,2025-09-30 14:55:00,2025-09-30,2025-09-30,0,130,2025-09-30 12:45:00,14,
145775,4.0,831.0,pepset_carrossel,2025-09-30 16:55:00,2025-09-30,2025-09-30,0,120,2025-09-30 14:55:00,14,
145775,5.0,839.0,pepset_carrossel,2025-09-30 15:15:00,2025-09-30,2025-09-30,0,130,2025-09-30 13:05:00,14,
145799,1.0,2562.0,pepset_carrossel,2025-09-29 14:25:00,2025-09-29,2025-09-29,0,130,2025-09-29 12:15:00,14,
145799,2.0,2563.0,pepset_carrossel,2025-09-29 10:15:00,2025-09-29,2025-09-29,0,165,2025-09-29 07:30:00,14,
145799,3.0,2564.0,pepset_carrossel,2025-09-29 16:25:00,2025-09-29,2025-09-29,0,120,2025-09-29 14:25:00,14,
145799,5.0,2566.0,pepset_carrossel,2025-09-29 19:10:00,2025-09-29,2025-09-29,0,165,2025-09-29 16:25:00,14,
145799,6.0,2567.0,pepset_carrossel,2025-09-29 12:15:00,2025-09-29,2025-09-29,0,120,2025-09-29 10:15:00,14,
145799,7.0,2568.0,pepset_carrossel,2025-09-29 07:30:00,2025-09-29,2025-09-29,0,120,2025-09-29 05:30:00,14,
145800,1.0,2562.0,pepset_carrossel,2025-10-02 06:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 04:40:00,14,
145800,2.0,2563.0,pepset_carrossel,2025-10-02 08:20:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:00:00,14,
145800,3.0,2564.0,pepset_carrossel,2025-10-02 07:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 05:40:00,14,
145800,5.0,2566.0,pepset_carrossel,2025-10-02 08:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:20:00,14,
145800,6.0,2567.0,pepset_carrossel,2025-10-02 08:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:20:00,14,
145800,7.0,2568.0,pepset_carrossel,2025-10-02 08:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:20:00,14,
146057,30.0,2926.0,pepset_carrossel,2025-09-29 04:10:00,2025-09-29,2025-09-29,0,10,2025-09-29 04:00:00,14,
146136,30.0,2926.0,pepset_carrossel,2025-09-29 05:20:00,2025-09-29,2025-09-29,0,10,2025-09-29 05:10:00,14,
146173,1.0,2920.0,pepset_carrossel,2025-10-01 12:35:00,2025-10-01,2025-10-01,0,160,2025-10-01 09:55:00,14,
146246,1.0,90.0,pepset_carrossel,2025-09-30 21:00:00,2025-09-30,2025-09-30,0,245,2025-09-30 16:55:00,14,
146258,1.0,90.0,pepset_carrossel,2025-10-01 16:05:00,2025-10-01,2025-10-01,0,210,2025-10-01 12:35:00,14,
146258,2.0,91.0,pepset_carrossel,2025-10-01 16:35:00,2025-10-01,2025-10-01,0,210,2025-10-01 13:05:00,14,
146258,3.0,92.0,pepset_carrossel,2025-10-01 20:10:00,2025-10-01,2025-10-01,0,245,2025-10-01 16:05:00,14,
146258,4.0,93.0,pepset_carrossel,2025-10-01 20:40:00,2025-10-01,2025-10-01,0,245,2025-10-01 16:35:00,14,
146259,1.0,90.0,pepset_carrossel,2025-10-02 20:20:00,2025-10-02,2025-10-02,0,245,2025-10-02 16:15:00,14,
146259,2.0,91.0,pepset_carrossel,2025-10-02 17:35:00,2025-10-02,2025-10-02,0,200,2025-10-02 14:15:00,14,
146259,3.0,92.0,pepset_carrossel,2025-10-02 12:45:00,2025-10-02,2025-10-02,0,245,2025-10-02 08:40:00,14,
146259,4.0,93.0,pepset_carrossel,2025-10-02 16:15:00,2025-10-02,2025-10-02,0,210,2025-10-02 12:45:00,14,
146260,1.0,90.0,pepset_carrossel,2025-10-03 11:45:00,2025-10-03,2025-10-03,0,245,2025-10-03 07:40:00,14,
146260,2.0,91.0,pepset_carrossel,2025-10-03 21:00:00,2025-10-03,2025-10-03,0,245,2025-10-03 16:55:00,14,
146260,3.0,92.0,pepset_carrossel,2025-10-03 15:15:00,2025-10-03,2025-10-03,0,210,2025-10-03 11:45:00,14,
146260,4.0,93.0,pepset_carrossel,2025-10-03 16:55:00,2025-10-03,2025-10-03,0,200,2025-10-03 13:35:00,14,
146292,1.0,87.0,pepset_carrossel,2025-10-02 14:15:00,2025-10-02,2025-10-02,0,210,2025-10-02 10:45:00,14,
146292,2.0,88.0,pepset_carrossel,2025-10-02 16:15:00,2025-10-02,2025-10-02,0,210,2025-10-02 12:45:00,14,
146292,3.0,89.0,pepset_carrossel,2025-10-02 17:15:00,2025-10-02,2025-10-02,0,200,2025-10-02 13:55:00,14,
146292,4.0,94.0,pepset_carrossel,2025-10-02 20:20:00,2025-10-02,2025-10-02,0,245,2025-10-02 16:15:00,14,
146293,1.0,87.0,pepset_carrossel,2025-10-03 13:35:00,2025-10-03,2025-10-03,0,210,2025-10-03 10:05:00,14,
