id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
7161,145799,2025-10-01,12,4621,4,2565,Pep Set,Vibrado,Silica,68,1,peça,1,1,6,0,6,6,28,168,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7162,145799,2025-10-01,12,4621,5,2566,Pep Set,Carrossel,Silica,13,2,peça,1,1,6,0,12,12,1,15,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7163,145799,2025-10-01,12,4621,6,2567,Pep Set,Carrossel,Silica,13,2,peça,1,1,6,0,12,12,1,15,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7164,145799,2025-10-01,12,4621,7,2568,Pep Set,Carrossel,Silica,9,2,peça,1,1,6,0,12,12,1,15,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7165,145799,2025-10-01,12,4621,20,2629,Cold Box Soprado,Sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7166,145800,2025-10-06,12,4621,1,2562,Pep Set,Carrossel,Silica,4,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7167,145800,2025-10-06,12,4621,2,2563,Pep Set,Carrossel,Silica,13,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7168,145800,2025-10-06,12,4621,3,2564,Pep Set,Carrossel,Silica,13,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7169,145800,2025-10-06,12,4621,4,2565,Pep Set,Vibrado,Silica,68,1,peça,1,1,4,0,4,4,28,112,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7170,145800,2025-10-06,12,4621,5,2566,Pep Set,Carrossel,Silica,13,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7171,145800,2025-10-06,12,4621,6,2567,Pep Set,Carrossel,Silica,13,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7172,145800,2025-10-06,12,4621,7,2568,Pep Set,Carrossel,Silica,9,2,peça,1,1,4,0,8,8,1,10,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7173,145800,2025-10-06,12,4621,20,2629,Cold Box Soprado,Sopradora,Silica,2,3,peça,3,1,4,0,12,4,1,6,2025-10-02,2025-10-02,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7174,145945,2025-09-29,11,5135,7,841,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-09-25,2025-09-25,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7175,145945,2025-09-29,11,5135,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-25,2025-09-25,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7176,145949,2025-10-02,11,4882,1,2729,Pep Set,Chão,Silica,\N,1,peça,1,1,2,0,2,2,15,30,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7177,146035,2025-09-30,11,5135,7,841,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7178,146035,2025-09-30,11,5135,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7179,146056,2025-10-01,4,5135,7,841,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7180,146056,2025-10-01,4,5135,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7181,146057,2025-09-30,14,4668,1,2578,Cold Box Soprado,Sopradora,Silica,7,1,peça,1,1,40,0,40,40,1,57,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7182,146057,2025-09-30,14,4668,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,40,0,30,10,1,14,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7183,146057,2025-09-30,14,4668,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,40,0,1,1,1,1,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7184,146136,2025-10-01,7,4668,1,2578,Cold Box Soprado,Sopradora,Silica,7,1,peça,1,1,40,0,40,40,1,57,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7185,146136,2025-10-01,7,4668,20,2629,Cold Box Soprado,Sopradora,Silica,2,1,peça,3,1,40,0,30,10,1,14,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7186,146136,2025-10-01,7,4668,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,40,0,1,1,1,1,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7187,146173,2025-10-03,14,5135,1,2920,Pep Set,Carrossel,Silica,9,1,peça,1,1,16,0,16,16,1,20,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7188,146173,2025-10-03,14,5135,6,840,Cold Box Soprado,Sopradora,Silica,2,1,peça,4,1,16,0,16,4,1,6,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
