"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"30817","146968","2025-11-17","14","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30818","146968","2025-11-17","14","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30819","146969","2025-11-18","14","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30820","146969","2025-11-18","14","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30821","146995","2025-11-12","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30822","146995","2025-11-12","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30823","146996","2025-11-13","3","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","4","4","4","15","60","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30824","146996","2025-11-13","3","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30825","146996","2025-11-13","3","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30826","146997","2025-11-14","5","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30827","146997","2025-11-14","5","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30828","146997","2025-11-14","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30829","146997","2025-11-14","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30830","146998","2025-11-17","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30831","146998","2025-11-17","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30832","146998","2025-11-17","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30833","146998","2025-11-17","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30834","146999","2025-11-17","12","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30835","146999","2025-11-17","12","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30836","146999","2025-11-17","12","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30837","146999","2025-11-17","12","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30838","147000","2025-11-18","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30839","147000","2025-11-18","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30840","147000","2025-11-18","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30841","147000","2025-11-18","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30842","147001","2025-11-18","11","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30843","147001","2025-11-18","11","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30844","147001","2025-11-18","11","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30845","147001","2025-11-18","11","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30846","147002","2025-11-19","1","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30847","147002","2025-11-19","1","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30848","147002","2025-11-19","1","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30849","147002","2025-11-19","1","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30850","147003","2025-11-19","15","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30851","147003","2025-11-19","15","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30852","147003","2025-11-19","15","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30853","147003","2025-11-19","15","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30854","147041","2025-11-12","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30855","147041","2025-11-12","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30856","147042","2025-11-13","3","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30857","147042","2025-11-13","3","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30858","147042","2025-11-13","3","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30859","147043","2025-11-14","5","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30860","147043","2025-11-14","5","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30861","147043","2025-11-14","5","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30862","147043","2025-11-14","5","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30863","147044","2025-11-17","1","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30864","147044","2025-11-17","1","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30865","147044","2025-11-17","1","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30866","147044","2025-11-17","1","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30867","147044","2025-11-17","1","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30868","147045","2025-11-17","12","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30869","147045","2025-11-17","12","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30870","147045","2025-11-17","12","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30871","147045","2025-11-17","12","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30872","147045","2025-11-17","12","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-11","2025-11-13","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30873","147046","2025-11-18","1","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30874","147046","2025-11-18","1","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30875","147046","2025-11-18","1","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30876","147046","2025-11-18","1","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30877","147046","2025-11-18","1","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30878","147047","2025-11-18","11","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30879","147047","2025-11-18","11","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30880","147047","2025-11-18","11","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30881","147047","2025-11-18","11","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30882","147047","2025-11-18","11","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-12","2025-11-14","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30883","147048","2025-11-19","1","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30884","147048","2025-11-19","1","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30885","147048","2025-11-19","1","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30886","147048","2025-11-19","1","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30887","147048","2025-11-19","1","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30888","147049","2025-11-19","15","4690","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30889","147049","2025-11-19","15","4690","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30890","147049","2025-11-19","15","4690","3","98","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30891","147049","2025-11-19","15","4690","4","385","Cold Box Soprado","Sopradora","Silica","1","1","peça","4","1","8","0","8","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30892","147049","2025-11-19","15","4690","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-13","2025-11-17","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30893","147073","2025-11-11","13","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","4","4","4","28","112","2025-11-05","2025-11-07","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30894","147074","2025-11-12","6","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","0","8","8","28","224","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30895","147075","2025-11-12","3","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","0","8","8","28","224","2025-11-06","2025-11-10","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30896","147076","2025-11-13","2","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","0","8","8","28","224","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30897","147076","2025-11-13","2","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30898","147077","2025-11-13","7","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","0","8","8","28","224","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30899","147077","2025-11-13","7","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-07","2025-11-11","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30900","147078","2025-11-14","3","4805","1","2690","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30901","147078","2025-11-14","3","4805","2","2691","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30902","147078","2025-11-14","3","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","1","8","0","8","8","28","224","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30903","147078","2025-11-14","3","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30904","147079","2025-11-14","6","4805","1","2690","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
"30905","147079","2025-11-14","6","4805","2","2691","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","10/11/2025 23:02:03","68","68","2025-11-10 23:02:03.000","2025-11-10"
