id,_kf_producao,datafusao,ordenacao,_kf_fichatecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,datahoraprocess,_kf_statusintegration,statusintegrationid,status_create_date,dt,maquina,not_sequence,inicio,fim
28542,146867,2025-11-07,4,4759,20,2629,coldboxsoprado,sopradora,Silica,2.0,3,peça,3,1,6,0,18,6,1,9,2025-11-03,2025-11-05,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 04:00:00,2025-11-06 04:06:00
28652,147128,2025-11-10,20,5135,6,840,coldboxsoprado,sopradora,Silica,2.0,1,peça,4,1,16,0,16,4,1,6,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 04:16:00,2025-11-06 04:20:00
28653,147128,2025-11-10,20,5135,7,841,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,16,0,16,4,1,6,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 04:30:00,2025-11-06 04:34:00
28654,147128,2025-11-10,20,5135,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 04:44:00,2025-11-06 04:52:00
28708,148432,2025-11-10,20,4836,1,2715,coldboxsoprado,sopradora,Silica,4.0,1,peça,4,2,40,0,40,10,1,14,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 05:02:00,2025-11-06 05:12:00
28709,148432,2025-11-10,20,4836,2,2708,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,40,0,40,20,1,28,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 05:22:00,2025-11-06 05:42:00
28710,148432,2025-11-10,20,4836,3,2709,coldboxsoprado,sopradora,Silica,1.0,1,peça,2,1,40,0,40,20,1,28,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 05:42:00,2025-11-06 06:02:00
28711,148436,2025-11-10,20,4835,1,2707,coldboxsoprado,sopradora,Silica,4.0,1,peça,4,2,40,0,40,10,1,14,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 06:12:00,2025-11-06 06:22:00
28712,148436,2025-11-10,20,4835,2,2708,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,40,0,40,20,1,28,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 06:32:00,2025-11-06 06:52:00
28713,148436,2025-11-10,20,4835,3,2709,coldboxsoprado,sopradora,Silica,1.0,1,peça,2,1,40,0,40,20,1,28,2025-11-04,2025-11-06,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 06:52:00,2025-11-06 07:12:00
28673,147163,2025-11-11,1,4755,2,117,coldboxsoprado,sopradora,Silica,6.0,1,peça,2,1,20,0,20,10,1,14,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 07:22:00,2025-11-06 07:32:00
28674,147163,2025-11-11,1,4755,3,2514,coldboxsoprado,sopradora,Silica,3.0,1,peça,4,1,20,0,20,5,1,7,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 08:02:00,2025-11-06 08:07:00
28568,147032,2025-11-11,4,4690,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 08:07:00,2025-11-06 08:11:00
28714,148438,2025-11-11,9,4836,1,2715,coldboxsoprado,sopradora,Silica,4.0,1,peça,4,2,40,0,40,10,1,14,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 08:11:00,2025-11-06 08:21:00
28715,148438,2025-11-11,9,4836,2,2708,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,40,0,40,20,1,28,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 08:31:00,2025-11-06 08:51:00
28716,148438,2025-11-11,9,4836,3,2709,coldboxsoprado,sopradora,Silica,1.0,1,peça,2,1,40,0,40,20,1,28,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 09:45:00,2025-11-06 10:05:00
28546,146964,2025-11-11,14,4292,1,1755,coldboxsoprado,sopradora,Silica,12.0,1,peça,1,1,72,0,72,72,1,102,2025-11-05,2025-11-07,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 10:35:00,2025-11-06 11:47:00
28676,147164,2025-11-12,1,4755,2,117,coldboxsoprado,sopradora,Silica,6.0,1,peça,2,1,20,0,20,10,1,14,2025-11-06,2025-11-10,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 12:17:00,2025-11-06 12:27:00
28677,147164,2025-11-12,1,4755,3,2514,coldboxsoprado,sopradora,Silica,3.0,1,peça,4,1,20,0,20,5,1,7,2025-11-06,2025-11-10,05/11/2025 14:26:54,60,60,2025-11-05 14:30:46.000,2025-11-05,coldboxsoprado_sopradora,True,2025-11-06 12:57:00,2025-11-06 13:02:00
