op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
145857,20,4689,2629,coldboxsoprado_sopradora,2025-09-17 04:00:00,2025-09-17 04:02:00,2025-09-17,2025-09-18,A,0,1,2025-09-17,0,2.0
146208,20,4690,2629,coldboxsoprado_sopradora,2025-09-17 04:02:00,2025-09-17 04:04:00,2025-09-17,2025-09-18,A,0,1,2025-09-17,0,2.0
145291,20,5135,2629,coldboxsoprado_sopradora,2025-09-17 04:04:00,2025-09-17 04:12:00,2025-09-17,2025-09-18,A,0,1,2025-09-17,0,8.0
145291,6,5135,840,coldboxsoprado_sopradora,2025-09-17 04:22:00,2025-09-17 04:26:00,2025-09-17,2025-09-18,A,0,1,2025-09-17,0,4.0
145291,7,5135,841,coldboxsoprado_sopradora,2025-09-17 04:26:00,2025-09-17 04:40:00,2025-09-17,2025-09-18,A,0,1,2025-09-17,0,14.0
145861,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:40:00,2025-09-17 04:41:00,2025-09-17,2025-09-19,A,0,0,2025-09-17,0,1.0
145862,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:41:00,2025-09-17 04:43:00,2025-09-17,2025-09-19,A,0,0,2025-09-17,0,2.0
145863,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:43:00,2025-09-17 04:45:00,2025-09-17,2025-09-19,A,0,0,2025-09-17,0,2.0
145864,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:45:00,2025-09-17 04:47:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
145865,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:47:00,2025-09-17 04:49:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
145866,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:49:00,2025-09-17 04:51:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
145867,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:51:00,2025-09-17 04:53:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
145868,4,4689,386,coldboxsoprado_sopradora,2025-09-17 04:53:00,2025-09-17 04:55:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
146213,4,4690,385,coldboxsoprado_sopradora,2025-09-17 04:55:00,2025-09-17 04:57:00,2025-09-17,2025-09-19,A,0,0,2025-09-17,0,2.0
146214,4,4690,385,coldboxsoprado_sopradora,2025-09-17 04:57:00,2025-09-17 04:59:00,2025-09-17,2025-09-19,A,0,0,2025-09-17,0,2.0
146215,4,4690,385,coldboxsoprado_sopradora,2025-09-17 04:59:00,2025-09-17 05:01:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
146216,4,4690,385,coldboxsoprado_sopradora,2025-09-17 05:01:00,2025-09-17 05:03:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
146217,4,4690,385,coldboxsoprado_sopradora,2025-09-17 05:03:00,2025-09-17 05:05:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
146218,4,4690,385,coldboxsoprado_sopradora,2025-09-17 05:05:00,2025-09-17 05:07:00,2025-09-17,2025-09-20,A,0,0,2025-09-17,0,2.0
