op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
146519,6,4339,840,coldboxsoprado_sopradora,2025-09-25 07:09:00,2025-09-25 07:12:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,3.0
145267,6,5134,840,coldboxsoprado_sopradora,2025-09-25 07:12:00,2025-09-25 07:16:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,4.0
146519,7,4339,834,coldboxsoprado_sopradora,2025-09-25 07:26:00,2025-09-25 07:29:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,3.0
145267,7,5134,834,coldboxsoprado_sopradora,2025-09-25 07:29:00,2025-09-25 07:33:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,4.0
146127,1,4822,2612,coldboxsoprado_sopradora,2025-09-25 07:43:00,2025-09-25 07:51:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,8.0
146127,2,4822,2574,coldboxsoprado_sopradora,2025-09-25 07:51:00,2025-09-25 07:59:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,8.0
146812,1,4835,2707,coldboxsoprado_sopradora,2025-09-25 08:09:00,2025-09-25 08:19:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,10.0
146831,1,4836,2715,coldboxsoprado_sopradora,2025-09-25 08:19:00,2025-09-25 08:29:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,10.0
146812,2,4835,2708,coldboxsoprado_sopradora,2025-09-25 08:39:00,2025-09-25 08:59:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,20.0
146812,3,4835,2709,coldboxsoprado_sopradora,2025-09-25 09:45:00,2025-09-25 10:05:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,20.0
146831,2,4836,2708,coldboxsoprado_sopradora,2025-09-25 10:05:00,2025-09-25 10:25:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,20.0
146831,3,4836,2709,coldboxsoprado_sopradora,2025-09-25 10:25:00,2025-09-25 10:55:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,30.0
146505,1,4292,1755,coldboxsoprado_sopradora,2025-09-25 11:25:00,2025-09-25 12:47:00,2025-09-25,2025-09-26,B,0,0,2025-09-25,0,82.0
146371,4,4689,386,coldboxsoprado_sopradora,2025-09-26 04:00:00,2025-09-26 04:02:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146372,4,4689,386,coldboxsoprado_sopradora,2025-09-26 04:02:00,2025-09-26 04:04:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146409,4,4690,385,coldboxsoprado_sopradora,2025-09-26 04:04:00,2025-09-26 04:06:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
146410,4,4690,385,coldboxsoprado_sopradora,2025-09-26 04:06:00,2025-09-26 04:08:00,2025-09-26,2025-09-27,A,0,0,2025-09-26,0,2.0
