id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt,maquina,not_sequence,inicio,fim
30623,147077,2025-11-13,7,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 08:53:00,2025-11-10 08:57:00
30624,147077,2025-11-13,7,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 09:45:00,2025-11-10 09:53:00
30626,147077,2025-11-13,7,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 10:03:00,2025-11-10 10:07:00
30543,146966,2025-11-13,11,4292,1,1755,coldboxsoprado,sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 10:37:00,2025-11-10 11:49:00
30686,147168,2025-11-14,1,4755,2,117,coldboxsoprado,sopradora,Silica,6,1,peça,2,1,20,0,20,10,1,14,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 12:19:00,2025-11-10 12:29:00
30687,147168,2025-11-14,1,4755,3,2514,coldboxsoprado,sopradora,Silica,3,1,peça,4,1,20,0,20,5,1,7,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 12:59:00,2025-11-10 13:04:00
30629,147078,2025-11-14,3,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 13:34:00,2025-11-10 13:38:00
30630,147078,2025-11-14,3,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 13:48:00,2025-11-10 13:56:00
30636,147078,2025-11-14,3,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 14:06:00,2025-11-10 14:10:00
30689,147207,2025-11-14,4,5134,6,840,coldboxsoprado,sopradora,Silica,2,1,peça,4,1,16,0,16,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 14:20:00,2025-11-10 14:24:00
30690,147207,2025-11-14,4,5134,7,834,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 14:34:00,2025-11-10 14:38:00
30691,147207,2025-11-14,4,5134,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 14:48:00,2025-11-10 14:56:00
30560,146997,2025-11-14,5,4689,2,114,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 14:56:00,2025-11-10 15:00:00
30562,146997,2025-11-14,5,4689,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:00:00,2025-11-10 15:02:00
30590,147043,2025-11-14,5,4690,2,114,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:02:00,2025-11-10 15:06:00
30592,147043,2025-11-14,5,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:06:00,2025-11-10 15:08:00
30593,147043,2025-11-14,5,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:18:00,2025-11-10 15:20:00
30639,147079,2025-11-14,6,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:30:00,2025-11-10 15:34:00
30640,147079,2025-11-14,6,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 15:44:00,2025-11-10 15:52:00
30646,147079,2025-11-14,6,4805,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,8,0,12,4,1,6,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 16:02:00,2025-11-10 16:06:00
30677,147129,2025-11-14,12,5135,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 16:06:00,2025-11-10 16:14:00
30532,146777,2025-11-14,15,4396,1,2302,coldboxsoprado,sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 16:44:00,2025-11-10 17:32:00
30545,146967,2025-11-14,16,4292,1,1755,coldboxsoprado,sopradora,Silica,12,1,peça,1,1,72,0,72,72,1,102,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 13:30:00,2025-11-10 14:42:00
30564,146998,2025-11-17,1,4689,2,114,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-11 04:00:00,2025-11-11 04:04:00
