id,_kf_producao,datafusao,ordenacao,_kf_fichatecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,datahoraprocess,_kf_statusintegration,statusintegrationid,status_create_date,dt,maquina,not_sequence,inicio,fim
20190,147123,2025-10-21,14,5135,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-10-15,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 05:27:00,2025-10-20 05:35:00
20036,146989,2025-10-22,15,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 05:35:00,2025-10-20 05:37:00
20079,147035,2025-10-22,15,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 05:37:00,2025-10-20 05:39:00
20191,147124,2025-10-22,16,5135,6,840,coldboxsoprado,sopradora,Silica,2.0,1,peça,4,1,16,0,16,4,1,6,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 05:49:00,2025-10-20 05:53:00
20192,147124,2025-10-22,16,5135,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 06:03:00,2025-10-20 06:11:00
19993,146766,2025-10-23,1,4823,1,2575,coldboxsoprado,sopradora,Silica,1.0,2,peça,2,1,10,0,20,10,1,14,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 06:21:00,2025-10-20 06:31:00
19994,146766,2025-10-23,1,4823,2,2576,coldboxsoprado,sopradora,Silica,1.0,1,peça,1,1,10,0,10,10,1,14,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 06:31:00,2025-10-20 06:41:00
19995,146766,2025-10-23,1,4823,3,2577,coldboxsoprado,sopradora,Silica,1.0,2,peça,4,1,10,0,20,5,1,7,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 06:51:00,2025-10-20 06:56:00
19928,146494,2025-10-23,2,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:06:00,2025-10-20 07:10:00
20038,146990,2025-10-23,3,4689,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:10:00,2025-10-20 07:14:00
20040,146990,2025-10-23,3,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:14:00,2025-10-20 07:16:00
20081,147036,2025-10-23,3,4690,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:16:00,2025-10-20 07:20:00
20083,147036,2025-10-23,3,4690,4,385,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,8,0,8,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:20:00,2025-10-20 07:22:00
20084,147036,2025-10-23,3,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:32:00,2025-10-20 07:34:00
19847,145791,2025-10-23,4,4073,6,840,coldboxsoprado,sopradora,Silica,2.0,1,peça,4,1,12,0,12,3,1,4,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:44:00,2025-10-20 07:47:00
19848,145791,2025-10-23,4,4073,7,841,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,12,0,12,3,1,4,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 07:57:00,2025-10-20 08:00:00
20112,147057,2025-10-23,5,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:10:00,2025-10-20 08:14:00
20042,146991,2025-10-23,7,4689,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:14:00,2025-10-20 08:18:00
20044,146991,2025-10-23,7,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:18:00,2025-10-20 08:20:00
20086,147037,2025-10-23,7,4690,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:20:00,2025-10-20 08:24:00
20088,147037,2025-10-23,7,4690,4,385,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,8,0,8,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:24:00,2025-10-20 08:26:00
20089,147037,2025-10-23,7,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:36:00,2025-10-20 08:38:00
19996,146767,2025-10-24,1,4823,1,2575,coldboxsoprado,sopradora,Silica,1.0,2,peça,2,1,10,0,20,10,1,14,2025-10-20,2025-10-22,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 08:48:00,2025-10-20 08:58:00
19997,146767,2025-10-24,1,4823,2,2576,coldboxsoprado,sopradora,Silica,1.0,1,peça,1,1,10,0,10,10,1,14,2025-10-20,2025-10-22,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 09:45:00,2025-10-20 09:55:00
19998,146767,2025-10-24,1,4823,3,2577,coldboxsoprado,sopradora,Silica,1.0,2,peça,4,1,10,0,20,5,1,7,2025-10-20,2025-10-22,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 10:05:00,2025-10-20 10:10:00
