id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,status_integration_id,status_create_date,dt,machine_name,lateness,obs
7649,145942,2025-10-09,6,4759,5,2679,pepset,carrossel,Silica,15,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7650,145942,2025-10-09,6,4759,6,2680,pepset,carrossel,Silica,13,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7651,145942,2025-10-09,6,4759,7,2681,pepset,carrossel,Silica,13,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7652,145942,2025-10-09,6,4759,8,2682,pepset,carrossel,Silica,11,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7653,145942,2025-10-09,6,4759,9,2683,pepset,carrossel,Silica,11,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7654,145942,2025-10-09,6,4759,10,2684,pepset,carrossel,Silica,10,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7655,145942,2025-10-09,6,4759,11,2685,pepset,carrossel,Silica,10,1,peça,1,1,6,0,6,6,1,8,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7656,145942,2025-10-09,6,4759,20,2629,coldboxsoprado,sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7694,146298,2025-10-08,5,4748,1,2647,pepset,carrossel,Silica,14,1,peça,1,1,32,0,32,32,1,40,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7702,146356,2025-10-08,3,945,1,90,pepset,carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
