op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
146243,3,4755,2514,0,2025-09-30 04:00:00,2025-09-30 04:00:00,2025-09-30,2025-10-01,B,0,1,2025-09-30,0,0.0
146136,1,4668,2578,0,2025-09-30 04:10:00,2025-09-30 04:50:00,2025-09-30,2025-10-01,B,0,1,2025-09-30,0,40.0
146506,1,4292,1755,0,2025-09-30 04:50:00,2025-09-30 06:12:00,2025-09-30,2025-10-01,B,0,1,2025-09-30,0,82.0
146373,4,4689,386,0,2025-09-30 06:42:00,2025-09-30 06:44:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146374,4,4689,386,0,2025-09-30 06:44:00,2025-09-30 06:46:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146375,4,4689,386,0,2025-09-30 06:46:00,2025-09-30 06:48:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146376,4,4689,386,0,2025-09-30 06:48:00,2025-09-30 06:50:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146411,4,4690,385,0,2025-09-30 06:50:00,2025-09-30 06:52:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146412,4,4690,385,0,2025-09-30 06:52:00,2025-09-30 06:54:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146413,4,4690,385,0,2025-09-30 06:54:00,2025-09-30 06:56:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146414,4,4690,385,0,2025-09-30 06:56:00,2025-09-30 06:58:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146373,20,4689,2629,0,2025-09-30 07:08:00,2025-09-30 07:10:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146374,20,4689,2629,0,2025-09-30 07:10:00,2025-09-30 07:12:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146375,20,4689,2629,0,2025-09-30 07:12:00,2025-09-30 07:14:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146376,20,4689,2629,0,2025-09-30 07:14:00,2025-09-30 07:16:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146411,20,4690,2629,0,2025-09-30 07:16:00,2025-09-30 07:18:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146412,20,4690,2629,0,2025-09-30 07:18:00,2025-09-30 07:20:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146413,20,4690,2629,0,2025-09-30 07:20:00,2025-09-30 07:22:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146414,20,4690,2629,0,2025-09-30 07:22:00,2025-09-30 07:24:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,2.0
146462,20,4805,2629,0,2025-09-30 07:24:00,2025-09-30 07:28:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,4.0
146463,20,4805,2629,0,2025-09-30 07:28:00,2025-09-30 07:32:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,4.0
146464,20,4805,2629,0,2025-09-30 07:32:00,2025-09-30 07:36:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,4.0
145799,20,4621,2629,0,2025-09-30 07:36:00,2025-09-30 07:42:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,6.0
145269,20,5134,2629,0,2025-09-30 07:42:00,2025-09-30 07:50:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,8.0
146056,20,5135,2629,0,2025-09-30 07:50:00,2025-09-30 07:58:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,8.0
146057,20,4668,2629,0,2025-09-30 07:58:00,2025-09-30 08:08:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,10.0
146136,20,4668,2629,0,2025-09-30 08:08:00,2025-09-30 08:18:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,10.0
146056,7,5135,841,0,2025-09-30 08:28:00,2025-09-30 08:32:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,4.0
146243,2,4755,117,0,2025-09-30 08:32:00,2025-09-30 08:52:00,2025-09-30,2025-10-01,A,0,1,2025-09-30,0,20.0
146377,4,4689,386,0,2025-09-30 08:52:00,2025-09-30 08:54:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146378,4,4689,386,0,2025-09-30 08:54:00,2025-09-30 08:56:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146379,4,4689,386,0,2025-09-30 08:56:00,2025-09-30 08:58:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146415,4,4690,385,0,2025-09-30 08:58:00,2025-09-30 09:00:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146416,4,4690,385,0,2025-09-30 09:45:00,2025-09-30 09:47:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146417,4,4690,385,0,2025-09-30 09:47:00,2025-09-30 09:49:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146377,20,4689,2629,0,2025-09-30 09:59:00,2025-09-30 10:01:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146378,20,4689,2629,0,2025-09-30 10:01:00,2025-09-30 10:03:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146379,20,4689,2629,0,2025-09-30 10:03:00,2025-09-30 10:05:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146415,20,4690,2629,0,2025-09-30 10:05:00,2025-09-30 10:07:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146416,20,4690,2629,0,2025-09-30 10:07:00,2025-09-30 10:09:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146417,20,4690,2629,0,2025-09-30 10:09:00,2025-09-30 10:11:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,2.0
146465,20,4805,2629,0,2025-09-30 10:11:00,2025-09-30 10:15:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,4.0
146466,20,4805,2629,0,2025-09-30 10:15:00,2025-09-30 10:19:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,4.0
146467,20,4805,2629,0,2025-09-30 10:19:00,2025-09-30 10:23:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,4.0
145270,20,5134,2629,0,2025-09-30 10:23:00,2025-09-30 10:31:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,8.0
145775,6,4054,840,0,2025-09-30 10:41:00,2025-09-30 10:44:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,3.0
145775,7,4054,834,0,2025-09-30 10:54:00,2025-09-30 10:57:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,3.0
146244,2,4755,117,0,2025-09-30 10:57:00,2025-09-30 11:17:00,2025-09-30,2025-10-01,A,0,0,2025-09-30,0,20.0
146244,3,4755,2514,0,2025-09-30 11:47:00,2025-09-30 11:52:00,2025-09-30,2025-10-01,B,0,0,2025-09-30,0,5.0
146301,1,4396,2302,0,2025-09-30 11:52:00,2025-09-30 12:50:00,2025-09-30,2025-10-01,B,0,0,2025-09-30,0,58.0
146380,4,4689,386,0,2025-10-01 04:00:00,2025-10-01 04:02:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146381,4,4689,386,0,2025-10-01 04:02:00,2025-10-01 04:04:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146418,4,4690,385,0,2025-10-01 04:04:00,2025-10-01 04:06:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146419,4,4690,385,0,2025-10-01 04:06:00,2025-10-01 04:08:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146380,20,4689,2629,0,2025-10-01 04:18:00,2025-10-01 04:20:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146381,20,4689,2629,0,2025-10-01 04:20:00,2025-10-01 04:22:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146418,20,4690,2629,0,2025-10-01 04:22:00,2025-10-01 04:24:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
146419,20,4690,2629,0,2025-10-01 04:24:00,2025-10-01 04:26:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,2.0
145271,20,5134,2629,0,2025-10-01 04:26:00,2025-10-01 04:34:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,8.0
146173,20,5135,2629,0,2025-10-01 04:34:00,2025-10-01 04:42:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,8.0
145271,6,5134,840,0,2025-10-01 04:52:00,2025-10-01 04:56:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,4.0
146173,6,5135,840,0,2025-10-01 04:56:00,2025-10-01 05:00:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,4.0
145271,7,5134,834,0,2025-10-01 05:10:00,2025-10-01 05:14:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,4.0
146173,7,5135,841,0,2025-10-01 05:24:00,2025-10-01 05:28:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,4.0
146314,2,4859,2736,0,2025-10-01 05:38:00,2025-10-01 05:46:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,8.0
146840,2,4858,2736,0,2025-10-01 05:46:00,2025-10-01 05:54:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,8.0
146527,2,4755,117,0,2025-10-01 06:04:00,2025-10-01 06:14:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,10.0
146814,1,4835,2707,0,2025-10-01 06:24:00,2025-10-01 06:34:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,10.0
146833,1,4836,2715,0,2025-10-01 06:34:00,2025-10-01 06:44:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,10.0
146814,2,4835,2708,0,2025-10-01 06:54:00,2025-10-01 07:14:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,20.0
146814,3,4835,2709,0,2025-10-01 07:14:00,2025-10-01 07:34:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,20.0
146833,2,4836,2708,0,2025-10-01 07:34:00,2025-10-01 07:54:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,20.0
146833,3,4836,2709,0,2025-10-01 07:54:00,2025-10-01 08:24:00,2025-10-01,2025-10-02,A,0,0,2025-10-01,0,30.0
146314,1,4859,2735,0,2025-10-01 08:54:00,2025-10-01 08:59:00,2025-10-01,2025-10-02,B,0,0,2025-10-01,0,5.0
146840,1,4858,2735,0,2025-10-01 08:59:00,2025-10-01 09:04:00,2025-10-01,2025-10-02,B,0,0,2025-10-01,0,5.0
146527,3,4755,2514,0,2025-10-01 09:14:00,2025-10-01 09:19:00,2025-10-01,2025-10-02,B,0,0,2025-10-01,0,5.0
146507,1,4292,1755,0,2025-10-01 09:19:00,2025-10-01 10:41:00,2025-10-01,2025-10-02,B,0,0,2025-10-01,0,82.0
147266,20,4621,2629,0,2025-10-02 04:00:00,2025-10-02 04:01:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,1.0
147267,20,4621,2629,0,2025-10-02 04:01:00,2025-10-02 04:02:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,1.0
146382,20,4689,2629,0,2025-10-02 04:02:00,2025-10-02 04:04:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146383,20,4689,2629,0,2025-10-02 04:04:00,2025-10-02 04:06:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146420,20,4690,2629,0,2025-10-02 04:06:00,2025-10-02 04:08:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146421,20,4690,2629,0,2025-10-02 04:08:00,2025-10-02 04:10:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
145800,20,4621,2629,0,2025-10-02 04:10:00,2025-10-02 04:14:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,4.0
146468,20,4805,2629,0,2025-10-02 04:14:00,2025-10-02 04:18:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,4.0
146469,20,4805,2629,0,2025-10-02 04:18:00,2025-10-02 04:22:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,4.0
146382,4,4689,386,0,2025-10-02 04:32:00,2025-10-02 04:34:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146383,4,4689,386,0,2025-10-02 04:34:00,2025-10-02 04:36:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146420,4,4690,385,0,2025-10-02 04:36:00,2025-10-02 04:38:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146421,4,4690,385,0,2025-10-02 04:38:00,2025-10-02 04:40:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,2.0
146468,3,4805,2692,0,2025-10-02 04:50:00,2025-10-02 04:54:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,4.0
146469,3,4805,2692,0,2025-10-02 04:54:00,2025-10-02 04:58:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,4.0
146468,4,4805,2693,0,2025-10-02 05:08:00,2025-10-02 05:16:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,8.0
146469,4,4805,2693,0,2025-10-02 05:16:00,2025-10-02 05:24:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,8.0
146841,2,4858,2736,0,2025-10-02 05:34:00,2025-10-02 05:42:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,8.0
146846,2,4859,2736,0,2025-10-02 05:42:00,2025-10-02 05:50:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,8.0
146528,2,4755,117,0,2025-10-02 06:00:00,2025-10-02 06:10:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,10.0
146815,1,4835,2707,0,2025-10-02 06:20:00,2025-10-02 06:30:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,10.0
146834,1,4836,2715,0,2025-10-02 06:30:00,2025-10-02 06:40:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,10.0
146815,2,4835,2708,0,2025-10-02 06:50:00,2025-10-02 07:10:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,20.0
146815,3,4835,2709,0,2025-10-02 07:10:00,2025-10-02 07:30:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,20.0
146834,2,4836,2708,0,2025-10-02 07:30:00,2025-10-02 07:50:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,20.0
146834,3,4836,2709,0,2025-10-02 07:50:00,2025-10-02 08:20:00,2025-10-02,2025-10-03,A,0,0,2025-10-02,0,30.0
146528,3,4755,2514,0,2025-10-02 08:50:00,2025-10-02 08:55:00,2025-10-02,2025-10-03,B,0,0,2025-10-02,0,5.0
146841,1,4858,2735,0,2025-10-02 09:05:00,2025-10-02 09:10:00,2025-10-02,2025-10-03,B,0,0,2025-10-02,0,5.0
