op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
145744,3,4755,2514,coldboxsoprado_sopradora,2025-09-15 04:00:00,2025-09-15 04:05:00,2025-09-15,2025-09-16,B,0,1,2025-09-15,0,5.0
146504,1,4292,1755,coldboxsoprado_sopradora,2025-09-15 04:05:00,2025-09-15 05:27:00,2025-09-15,2025-09-16,B,0,1,2025-09-15,0,82.0
145852,4,4689,386,coldboxsoprado_sopradora,2025-09-15 05:57:00,2025-09-15 05:59:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
145896,4,4690,385,coldboxsoprado_sopradora,2025-09-15 05:59:00,2025-09-15 06:01:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
146088,4,4690,385,coldboxsoprado_sopradora,2025-09-15 06:01:00,2025-09-15 06:03:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
145852,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:13:00,2025-09-15 06:15:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
145896,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 06:15:00,2025-09-15 06:17:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
146088,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 06:17:00,2025-09-15 06:19:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
146869,20,4970,2629,coldboxsoprado_sopradora,2025-09-15 06:19:00,2025-09-15 06:21:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
146870,20,4971,2629,coldboxsoprado_sopradora,2025-09-15 06:21:00,2025-09-15 06:23:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,2.0
145797,20,4621,2629,coldboxsoprado_sopradora,2025-09-15 06:23:00,2025-09-15 06:29:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,6.0
146115,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:39:00,2025-09-15 06:43:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,4.0
146116,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:43:00,2025-09-15 06:47:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,4.0
146117,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:47:00,2025-09-15 06:51:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,4.0
146118,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:51:00,2025-09-15 06:55:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,4.0
146115,4,4805,2693,coldboxsoprado_sopradora,2025-09-15 07:05:00,2025-09-15 07:13:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
146116,4,4805,2693,coldboxsoprado_sopradora,2025-09-15 07:13:00,2025-09-15 07:21:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
146117,4,4805,2693,coldboxsoprado_sopradora,2025-09-15 07:21:00,2025-09-15 07:29:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
146118,4,4805,2693,coldboxsoprado_sopradora,2025-09-15 07:29:00,2025-09-15 07:37:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
146822,2,4836,2708,coldboxsoprado_sopradora,2025-09-15 07:47:00,2025-09-15 07:55:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
146822,3,4836,2709,coldboxsoprado_sopradora,2025-09-15 07:55:00,2025-09-15 08:03:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,8.0
145744,2,4755,117,coldboxsoprado_sopradora,2025-09-15 08:03:00,2025-09-15 08:23:00,2025-09-15,2025-09-16,A,0,1,2025-09-15,0,20.0
145853,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:23:00,2025-09-15 08:25:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145854,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:25:00,2025-09-15 08:27:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145855,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:27:00,2025-09-15 08:29:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145856,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:29:00,2025-09-15 08:31:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
145857,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:31:00,2025-09-15 08:33:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
145858,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:33:00,2025-09-15 08:35:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145859,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:35:00,2025-09-15 08:37:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145860,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:37:00,2025-09-15 08:39:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145861,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:39:00,2025-09-15 08:41:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
145862,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:41:00,2025-09-15 08:43:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
145863,4,4689,386,coldboxsoprado_sopradora,2025-09-15 08:43:00,2025-09-15 08:45:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
146089,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:45:00,2025-09-15 08:47:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
146205,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:47:00,2025-09-15 08:49:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
146206,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:49:00,2025-09-15 08:51:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
146207,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:51:00,2025-09-15 08:53:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
146208,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:53:00,2025-09-15 08:55:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
146209,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:55:00,2025-09-15 08:57:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
146210,4,4690,385,coldboxsoprado_sopradora,2025-09-15 08:57:00,2025-09-15 08:59:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
146211,4,4690,385,coldboxsoprado_sopradora,2025-09-15 09:45:00,2025-09-15 09:47:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
146212,4,4690,385,coldboxsoprado_sopradora,2025-09-15 09:47:00,2025-09-15 09:49:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
146213,4,4690,385,coldboxsoprado_sopradora,2025-09-15 09:49:00,2025-09-15 09:51:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
146214,4,4690,385,coldboxsoprado_sopradora,2025-09-15 09:51:00,2025-09-15 09:53:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
145853,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:03:00,2025-09-15 10:05:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145854,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:05:00,2025-09-15 10:07:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145855,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:07:00,2025-09-15 10:09:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
145856,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:09:00,2025-09-15 10:11:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
145857,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:11:00,2025-09-15 10:13:00,2025-09-15,2025-09-17,A,0,0,2025-09-15,0,2.0
145858,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:13:00,2025-09-15 10:15:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145859,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:15:00,2025-09-15 10:17:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145860,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:17:00,2025-09-15 10:19:00,2025-09-15,2025-09-18,A,0,0,2025-09-15,0,2.0
145861,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:19:00,2025-09-15 10:21:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
145862,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:21:00,2025-09-15 10:23:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
145863,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 10:23:00,2025-09-15 10:25:00,2025-09-15,2025-09-19,A,0,0,2025-09-15,0,2.0
146089,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 10:25:00,2025-09-15 10:27:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
146205,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 10:27:00,2025-09-15 10:29:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,2.0
