OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id
146409,1.0,113.0,coldboxgasado_coldbox4,2025-09-26 15:10:00,2025-09-26,2025-09-26,0,25,2025-09-26 14:45:00,13
146410,1.0,113.0,coldboxgasado_coldbox4,2025-09-26 14:45:00,2025-09-26,2025-09-26,0,25,2025-09-26 14:20:00,13
146918,1.0,2879.0,coldboxgasado_coldbox4,2025-09-26 16:50:00,2025-09-26,2025-09-26,0,100,2025-09-26 15:10:00,13
146369,3.0,115.0,coldboxgasado_coldboxpequena,2025-09-25 06:30:00,2025-09-25,2025-09-25,0,25,2025-09-25 06:05:00,13
146370,3.0,115.0,coldboxgasado_coldboxpequena,2025-09-25 06:05:00,2025-09-25,2025-09-25,0,25,2025-09-25 05:40:00,13
146371,3.0,115.0,coldboxgasado_coldboxpequena,2025-09-26 05:40:00,2025-09-26,2025-09-26,0,25,2025-09-26 05:15:00,13
146372,3.0,115.0,coldboxgasado_coldboxpequena,2025-09-26 05:15:00,2025-09-26,2025-09-26,0,25,2025-09-26 04:50:00,13
146406,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-25 06:55:00,2025-09-25,2025-09-25,0,25,2025-09-25 06:30:00,13
146407,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-25 05:15:00,2025-09-25,2025-09-25,0,25,2025-09-25 04:50:00,13
146408,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-25 05:40:00,2025-09-25,2025-09-25,0,25,2025-09-25 05:15:00,13
146409,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-26 04:50:00,2025-09-26,2025-09-26,0,25,2025-09-26 04:25:00,13
146410,3.0,98.0,coldboxgasado_coldboxpequena,2025-09-26 04:25:00,2025-09-26,2025-09-26,0,25,2025-09-26 04:00:00,13
146862,1.0,2504.0,coldboxgasado_coldboxpequena,2025-09-25 04:50:00,2025-09-25,2025-09-25,0,15,2025-09-25 04:35:00,13
147202,25.0,2921.0,coldboxgasado_coldboxpequena,2025-09-25 04:15:00,2025-09-25,2025-09-25,0,10,2025-09-25 04:05:00,13
147203,23.0,2907.0,coldboxgasado_coldboxpequena,2025-09-25 04:35:00,2025-09-25,2025-09-25,0,10,2025-09-25 04:25:00,13
147204,23.0,2907.0,coldboxgasado_coldboxpequena,2025-09-25 04:25:00,2025-09-25,2025-09-25,0,10,2025-09-25 04:15:00,13
147246,25.0,2921.0,coldboxgasado_coldboxpequena,2025-09-25 04:05:00,2025-09-25,2025-09-25,0,5,2025-09-25 04:00:00,13
146242,3.0,2514.0,coldboxsoprado_sopradora,2025-09-25 04:15:00,2025-09-25,2025-09-26,B,15,2025-09-25 04:00:00,13
145867,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:47:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:45:00,13
146218,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:49:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:47:00,13
146265,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:51:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:49:00,13
146355,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:53:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:51:00,13
146367,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:55:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:53:00,13
146403,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:57:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:55:00,13
146404,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 04:59:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:57:00,13
146405,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:01:00,2025-09-25,2025-09-26,A,2,2025-09-25 04:59:00,13
146455,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:05:00,2025-09-25,2025-09-26,A,4,2025-09-25 05:01:00,13
146456,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:09:00,2025-09-25,2025-09-26,A,4,2025-09-25 05:05:00,13
146457,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:13:00,2025-09-25,2025-09-26,A,4,2025-09-25 05:09:00,13
145266,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:21:00,2025-09-25,2025-09-26,A,8,2025-09-25 05:13:00,13
145293,20.0,2629.0,coldboxsoprado_sopradora,2025-09-25 05:29:00,2025-09-25,2025-09-26,A,8,2025-09-25 05:21:00,13
146367,4.0,386.0,coldboxsoprado_sopradora,2025-09-25 05:41:00,2025-09-25,2025-09-26,A,2,2025-09-25 05:39:00,13
145266,7.0,834.0,coldboxsoprado_sopradora,2025-09-25 05:55:00,2025-09-25,2025-09-26,A,4,2025-09-25 05:51:00,13
145293,7.0,841.0,coldboxsoprado_sopradora,2025-09-25 06:09:00,2025-09-25,2025-09-26,A,14,2025-09-25 05:55:00,13
146368,4.0,386.0,coldboxsoprado_sopradora,2025-09-25 06:11:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:09:00,13
146369,4.0,386.0,coldboxsoprado_sopradora,2025-09-25 06:13:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:11:00,13
146370,4.0,386.0,coldboxsoprado_sopradora,2025-09-25 06:15:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:13:00,13
146406,4.0,385.0,coldboxsoprado_sopradora,2025-09-25 06:17:00,2025-09-25,2025-09-26,A,2,2025-09-25 06:15:00,13
